Année,Ville,Pays Hôte,Nombre de Participants,Discipline,Catégorie,Nom de l'Athlète,Sexe,Âge,Rang,Médailles,Résultat Final
1960,Rome,Italy,47,Athlétisme,Marathon,Abdeslam Radi,Homme,,2,Argent,Médaillé
1964,Tokyo,Japon,20,-,-,-,-,,-,-,-
1968,Mexico,Mexique,25,-,-,-,-,,-,-,-
1972,Munich,Allemagne,35,-,-,-,-,,-,-,-
1976,Montréal,Canada,9,-,-,-,-,,-,-,-
1984,Los Angeles,USA,34,Athlétisme,400m Hales,Nawal El Moutawakel,Femme,,1,Or,Gagnante
1984,Los Angeles,USA,34,Athlétisme,5000m ,Said Aouita,Homme,,1,Or,Gagnant
1988,Séoul,Corée du Sud,27,Athlétisme,800m ,Said Aouita,Homme,,3,Bronze,Médaillé
1988,Séoul,Corée du Sud,27,Athlétisme,10000m ,Brahim Boutayeb,Homme,,1,Or,Gagnant
1988,Séoul,Corée du Sud,27,Boxe,57kg ,Abdellah Achik,Homme,,3,Bronze,Médaillé
1992,Barcelone,Espagne,53,Athlétisme,10000m,Khalid Skah,Homme,,1,Or,Gagnant
1992,Barcelone,Espagne,53,Athlétisme,1500m ,Rachid Labsir,Homme,,2,Argent,Médaillé
1992,Barcelone,Espagne,53,Boxe,54kg,Mohamed Achik,Homme,,3,Bronze,Médaillé
1996,Atlanta,USA,34,Athlétisme,5000m ,Khalid Boulami,Homme,,3,Bronze,Médaillé
1996,Atlanta,USA,34,Athlétisme,10000m ,Salah Hissou,Homme,,3,Bronze,Médaillé
2000,Sydney,Australie,61,Athlétisme,3000m ,Ali Ezzine,Homme,,3,Bronze,Médaillé
2000,Sydney,Australie,61,Athlétisme,1500m ,Hicham El Guerrouj,Homme,,2,Argent,Médaillé
2000,Sydney,Australie,61,Athlétisme,800m ,Nezha Bidouane,Femme,,3,Bronze,Médaillé
2000,Sydney,Australie,61,Athlétisme,5000m ,Brahim Lahlafi,Homme,,3,Bronze,Médaillé
2000,Sydney,Australie,61,Boxe,54kg ,Tahar Tamsmani,Homme,,3,Bronze,Médaillé
2004,Athènes,Grèce,55,Athlétisme,800m ,Benhassi Hasna,Femme,,3,Bronze,Médaillé
2004,Athènes,Grèce,55,Athlétisme,1500m ,Hicham El Geurrouj,Homme,,1,Or,Gagnant
2004,Athènes,Grèce,55,Athlétisme,5000m ,Hicham El Geurrouj,Homme,,1,Or,Gagnant
2008,Pékin,Chine,47,Athlétisme,Marathon ,Gharib jaouad,Homme,,2,Argent,Médaillé
2008,Pékin,Chine,47,Athlétisme,800m ,Benhassi Hasna,Femme,,3,Bronze,Médaillé
2012,Londres,Grande-Bretagne,63,Athlétisme,1500m ,Abdelaati Iguider,Homme,,3,Bronze,Médaillé
2016,Rio de janeiro,Brésil,49,Boxe,69kg ,Rabii Mohamed,Homme,,3,Bronze,Médaillé
2020,Tokyo,Japon,48,Athlétisme,3000m Steeple ,Soufiane ElBakkali,Homme,,1,Or,Gagnant
2024,Paris,France,60,Athlétisme,3000m Steeple ,Soufiane ElBakkali,Homme,,1,Or,Gagnant
2024,Paris,France,60,Football,U23 Hommes ,Equipe nationale U23,Homme,,3,Bronze,Médaillé
